id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
117,All India,Urban,SS (I-X),Madarsa unrecognized,28,61,1194,877,993,791,972,766,946,785,956,753,1143,834,1086,764,1092,675,975,774,913,788,0,0,0,0
118,All India,Rural,SS (IX-X),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,108,108,127,0,0,0,0
119,All India,Urban,SS (IX-X),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,55,134,61,0,0,0,0
120,All India,Rural,SS (VI-X),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,138,109,254,232,245,256,268,255,195,186,175,160,0,0,0,0
121,All India,Urban,SS (VI-X),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,17,26,20,25,23,27,31,52,31,39,0,0,0,0
122,All India,Rural,UPS (I-VIII),Madarsa unrecognized,1067,1093,8244,8581,7233,7539,7238,7568,6966,7270,6763,7313,7076,7474,7015,7366,7003,7027,0,0,0,0,0,0,0,0
123,All India,Urban,UPS (I-VIII),Madarsa unrecognized,260,187,2205,2303,2043,2091,2230,2291,2367,2343,2413,2453,2602,2700,2580,2785,2255,2357,0,0,0,0,0,0,0,0
124,All India,Rural,UPS (VI-VIII),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,906,1111,1466,1664,1504,1734,1516,1668,0,0,0,0,0,0,0,0
125,All India,Urban,UPS (VI-VIII),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,85,87,188,210,205,213,189,253,0,0,0,0,0,0,0,0
126,All India,Rural,PS (I-V),Ministry of Labor,0,0,285,281,223,218,289,273,291,252,388,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,All India,Urban,PS (I-V),Ministry of Labor,0,0,97,127,79,73,126,124,147,148,167,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,All India,Rural,UPS (I-VIII),Ministry of Labor,0,0,4,15,7,5,12,29,0,0,2,45,3,43,1,12,3,9,0,0,0,0,0,0,0,0
129,All India,Urban,UPS (I-VIII),Ministry of Labor,0,0,37,0,44,1,39,4,57,10,43,38,54,37,52,29,75,28,0,0,0,0,0,0,0,0
130,All India,Rural,UPS (VI-VIII),Ministry of Labor,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,30,0,25,0,0,0,0,0,0,0,0
131,All India,Urban,UPS (VI-VIII),Ministry of Labor,0,0,0,0,0,0,0,0,0,0,0,0,34,0,28,0,34,0,0,0,0,0,0,0,0,0
132,All India,Rural,HSS (I-XII),Other Central Govt. Schools,241,249,682,816,655,854,736,856,748,888,725,864,798,929,748,872,728,872,741,936,681,841,717,823,603,594
133,All India,Urban,HSS (I-XII),Other Central Govt. Schools,492,606,805,1052,817,1270,933,1361,983,1395,978,1415,1119,1544,1119,1557,1038,1627,1138,1725,1087,1899,1077,1087,987,1223
134,All India,Rural,HSS (IX-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,105,104,91,59,52,30
135,All India,Rural,HSS (VI-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,103,215,83,193,94,167,62,212,98,190,193,334,68,97
136,All India,Urban,HSS (VI-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,52,104,69,360,98,340,75,347,98,453,107,529,116,653,113,630
137,All India,Rural,HSS (XI-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,27,24
138,All India,Rural,PS (I-V),Other Central Govt. Schools,10,13,39,88,58,95,71,95,56,72,60,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,All India,Urban,PS (I-V),Other Central Govt. Schools,37,38,134,168,136,170,170,174,166,195,71,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,All India,Rural,SS (I-X),Other Central Govt. Schools,69,94,332,360,314,381,326,350,324,376,386,364,336,375,343,360,344,352,316,369,293,337,0,0,0,0
141,All India,Urban,SS (I-X),Other Central Govt. Schools,190,203,597,661,606,732,656,760,718,881,694,847,694,857,699,815,643,770,638,789,558,696,0,0,0,0
142,All India,Urban,SS (IX-X),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,35,58,37,55,36,0,0,0,0
143,All India,Rural,SS (VI-X),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,1,0,36,56,25,42,27,57,26,37,17,17,0,0,0,0
144,All India,Rural,UPS (I-VIII),Other Central Govt. Schools,0,0,94,109,73,88,81,116,93,98,68,109,63,106,72,106,79,118,0,0,0,0,0,0,0,0
145,All India,Urban,UPS (I-VIII),Other Central Govt. Schools,0,0,94,137,96,119,107,102,117,90,111,95,93,76,81,90,20,26,0,0,0,0,0,0,0,0
146,All India,Rural,UPS (VI-VIII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,26,25,30,30,34,34,0,0,0,0,0,0,0,0
